Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
1 22 2014,8:00 pm,Oklahoma City Thunder,111,San Antonio Spurs,105,Box Score,,
1 22 2014,7:00 pm,Dallas Mavericks,85,Toronto Raptors,93,Box Score,,
1 22 2014,7:00 pm,Boston Celtics,113,Washington Wizards,111,Box Score,OT,
1 23 2014,8:00 pm,Los Angeles Lakers,102,Miami Heat,109,Box Score,,
1 23 2014,10:30 pm,Denver Nuggets,105,Portland Trail Blazers,110,Box Score,,
1 24 2014,7:30 pm,San Antonio Spurs,105,Atlanta Hawks,79,Box Score,,
1 24 2014,7:30 pm,Oklahoma City Thunder,101,Boston Celtics,83,Box Score,,
1 24 2014,7:30 pm,Dallas Mavericks,106,Brooklyn Nets,107,Box Score,,
1 24 2014,8:00 pm,Los Angeles Clippers,112,Chicago Bulls,95,Box Score,,
1 24 2014,7:30 pm,Milwaukee Bucks,78,Cleveland Cavaliers,93,Box Score,,
1 24 2014,7:30 pm,New Orleans Pelicans,103,Detroit Pistons,101,Box Score,,
1 24 2014,10:30 pm,Minnesota Timberwolves,121,Golden State Warriors,120,Box Score,,
1 24 2014,8:00 pm,Memphis Grizzlies,88,Houston Rockets,87,Box Score,,
1 24 2014,7:30 pm,Charlotte Bobcats,96,New York Knicks,125,Box Score,,
1 24 2014,7:00 pm,Los Angeles Lakers,105,Orlando Magic,114,Box Score,,
1 24 2014,7:00 pm,Toronto Raptors,104,Philadelphia 76ers,95,Box Score,,
1 24 2014,9:00 pm,Washington Wizards,101,Phoenix Suns,95,Box Score,,
1 24 2014,10:00 pm,Indiana Pacers,116,Sacramento Kings,111,Box Score,OT,
1 25 2014,7:00 pm,Chicago Bulls,89,Charlotte Bobcats,87,Box Score,,
1 25 2014,9:00 pm,Indiana Pacers,96,Denver Nuggets,109,Box Score,,
1 25 2014,8:00 pm,Houston Rockets,81,Memphis Grizzlies,99,Box Score,,
1 25 2014,8:30 pm,Atlanta Hawks,112,Milwaukee Bucks,87,Box Score,,
1 25 2014,7:30 pm,Oklahoma City Thunder,103,Philadelphia 76ers,91,Box Score,,
1 25 2014,10:00 pm,Minnesota Timberwolves,104,Portland Trail Blazers,115,Box Score,,
1 25 2014,7:00 pm,Los Angeles Clippers,126,Toronto Raptors,118,Box Score,,
1 25 2014,9:00 pm,Washington Wizards,101,Utah Jazz,104,Box Score,,
1 26 2014,6:30 pm,Brooklyn Nets,85,Boston Celtics,79,Box Score,,
1 26 2014,6:00 pm,Phoenix Suns,99,Cleveland Cavaliers,90,Box Score,,
1 26 2014,7:30 pm,Detroit Pistons,106,Dallas Mavericks,116,Box Score,,
1 26 2014,9:00 pm,Portland Trail Blazers,88,Golden State Warriors,103,Box Score,,
1 26 2014,1:00 pm,San Antonio Spurs,101,Miami Heat,113,Box Score,,
1 26 2014,6:00 pm,Orlando Magic,92,New Orleans Pelicans,100,Box Score,,
1 26 2014,3:30 pm,Los Angeles Lakers,103,New York Knicks,110,Box Score,,
1 26 2014,9:00 pm,Denver Nuggets,125,Sacramento Kings,117,Box Score,,
1 27 2014,7:30 pm,Toronto Raptors,104,Brooklyn Nets,103,Box Score,,
1 27 2014,8:00 pm,Minnesota Timberwolves,95,Chicago Bulls,86,Box Score,,
1 27 2014,8:00 pm,Los Angeles Clippers,114,Milwaukee Bucks,86,Box Score,,
1 27 2014,8:00 pm,Atlanta Hawks,109,Oklahoma City Thunder,111,Box Score,,
1 27 2014,7:00 pm,Phoenix Suns,124,Philadelphia 76ers,113,Box Score,,
1 27 2014,9:00 pm,Sacramento Kings,99,Utah Jazz,106,Box Score,,
1 28 2014,7:00 pm,New Orleans Pelicans,100,Cleveland Cavaliers,89,Box Score,,
1 28 2014,7:30 pm,Orlando Magic,87,Detroit Pistons,103,Box Score,,
1 28 2014,10:30 pm,Washington Wizards,88,Golden State Warriors,85,Box Score,,
1 28 2014,8:00 pm,San Antonio Spurs,90,Houston Rockets,97,Box Score,,
1 28 2014,10:30 pm,Indiana Pacers,104,Los Angeles Lakers,92,Box Score,,
1 28 2014,7:30 pm,Boston Celtics,88,New York Knicks,114,Box Score,,
1 28 2014,10:00 pm,Memphis Grizzlies,98,Portland Trail Blazers,81,Box Score,,
1 29 2014,7:30 pm,Philadelphia 76ers,95,Boston Celtics,94,Box Score,,
1 29 2014,8:30 pm,Houston Rockets,117,Dallas Mavericks,115,Box Score,,
1 29 2014,9:00 pm,Charlotte Bobcats,101,Denver Nuggets,98,Box Score,,
1 29 2014,10:30 pm,Washington Wizards,103,Los Angeles Clippers,110,Box Score,,
1 29 2014,7:00 pm,Oklahoma City Thunder,112,Miami Heat,95,Box Score,,
1 29 2014,8:00 pm,Phoenix Suns,126,Milwaukee Bucks,117,Box Score,,
1 29 2014,8:00 pm,New Orleans Pelicans,77,Minnesota Timberwolves,88,Box Score,,
1 29 2014,10:00 pm,Memphis Grizzlies,99,Sacramento Kings,89,Box Score,,
1 29 2014,9:30 pm,Chicago Bulls,96,San Antonio Spurs,86,Box Score,,
1 29 2014,7:00 pm,Orlando Magic,83,Toronto Raptors,98,Box Score,,
1 30 2014,10:30 pm,Los Angeles Clippers,92,Golden State Warriors,111,Box Score,,
1 30 2014,7:00 pm,Phoenix Suns,102,Indiana Pacers,94,Box Score,,
1 30 2014,8:00 pm,Cleveland Cavaliers,86,New York Knicks,117,Box Score,,
1 31 2014,8:00 pm,Oklahoma City Thunder,120,Brooklyn Nets,95,Box Score,,
1 31 2014,8:30 pm,Sacramento Kings,103,Dallas Mavericks,107,Box Score,,
1 31 2014,9:00 pm,Toronto Raptors,100,Denver Nuggets,90,Box Score,,
1 31 2014,10:30 pm,Charlotte Bobcats,110,Los Angeles Lakers,100,Box Score,,
1 31 2014,8:00 pm,Memphis Grizzlies,94,Minnesota Timberwolves,90,Box Score,,
1 31 2014,7:00 pm,Milwaukee Bucks,102,Orlando Magic,113,Box Score,,
1 31 2014,7:30 pm,Atlanta Hawks,125,Philadelphia 76ers,99,Box Score,,
1 31 2014,10:30 pm,Golden State Warriors,95,Utah Jazz,90,Box Score,,
2 1 2014,7:30 pm,Minnesota Timberwolves,113,Atlanta Hawks,120,Box Score,,
2 1 2014,7:30 pm,Philadelphia 76ers,96,Detroit Pistons,113,Box Score,,
2 1 2014,8:00 pm,Cleveland Cavaliers,92,Houston Rockets,106,Box Score,,
2 1 2014,7:00 pm,Brooklyn Nets,96,Indiana Pacers,97,Box Score,,
2 1 2014,10:30 pm,Utah Jazz,87,Los Angeles Clippers,102,Box Score,,
2 1 2014,8:00 pm,Milwaukee Bucks,90,Memphis Grizzlies,99,Box Score,,
2 1 2014,8:00 pm,Chicago Bulls,79,New Orleans Pelicans,88,Box Score,,
2 1 2014,8:30 pm,Miami Heat,106,New York Knicks,91,Box Score,,
2 1 2014,9:00 pm,Charlotte Bobcats,95,Phoenix Suns,105,Box Score,,
2 1 2014,10:00 pm,Toronto Raptors,103,Portland Trail Blazers,106,Box Score,,
2 1 2014,8:30 pm,Sacramento Kings,93,San Antonio Spurs,95,Box Score,,
2 1 2014,7:00 pm,Oklahoma City Thunder,81,Washington Wizards,96,Box Score,,
2 2 2014,1:00 pm,Orlando Magic,89,Boston Celtics,96,Box Score,,
2 3 2014,7:30 pm,Philadelphia 76ers,102,Brooklyn Nets,108,Box Score,,
2 3 2014,8:30 pm,Cleveland Cavaliers,107,Dallas Mavericks,124,Box Score,,
2 3 2014,9:00 pm,Los Angeles Clippers,115,Denver Nuggets,116,Box Score,,
2 3 2014,7:00 pm,Orlando Magic,79,Indiana Pacers,98,Box Score,,
2 3 2014,7:30 pm,Detroit Pistons,96,Miami Heat,102,Box Score,,
2 3 2014,8:00 pm,New York Knicks,98,Milwaukee Bucks,101,Box Score,,
2 3 2014,8:00 pm,San Antonio Spurs,102,New Orleans Pelicans,95,Box Score,,
2 3 2014,8:00 pm,Memphis Grizzlies,77,Oklahoma City Thunder,86,Box Score,,
2 3 2014,10:00 pm,Chicago Bulls,70,Sacramento Kings,99,Box Score,,
2 3 2014,9:00 pm,Toronto Raptors,94,Utah Jazz,79,Box Score,,
2 3 2014,7:00 pm,Portland Trail Blazers,90,Washington Wizards,100,Box Score,,
2 4 2014,7:30 pm,Indiana Pacers,89,Atlanta Hawks,85,Box Score,,
2 4 2014,10:30 pm,Charlotte Bobcats,91,Golden State Warriors,75,Box Score,,
2 4 2014,8:00 pm,Los Angeles Lakers,99,Minnesota Timberwolves,109,Box Score,,
2 4 2014,9:00 pm,Chicago Bulls,101,Phoenix Suns,92,Box Score,,
2 5 2014,7:00 pm,Los Angeles Lakers,119,Cleveland Cavaliers,108,Box Score,,
2 5 2014,9:00 pm,Milwaukee Bucks,100,Denver Nuggets,110,Box Score,,
2 5 2014,8:00 pm,Phoenix Suns,108,Houston Rockets,122,Box Score,,
2 5 2014,10:30 pm,Miami Heat,116,Los Angeles Clippers,112,Box Score,,
2 5 2014,8:00 pm,Dallas Mavericks,110,Memphis Grizzlies,96,Box Score,,
2 5 2014,8:00 pm,Atlanta Hawks,100,New Orleans Pelicans,105,Box Score,,
2 5 2014,8:00 pm,Portland Trail Blazers,94,New York Knicks,90,Box Score,,
2 5 2014,8:00 pm,Minnesota Timberwolves,97,Oklahoma City Thunder,106,Box Score,,
2 5 2014,7:00 pm,Detroit Pistons,98,Orlando Magic,112,Box Score,,
2 5 2014,7:00 pm,Boston Celtics,114,Philadelphia 76ers,108,Box Score,,
2 5 2014,10:00 pm,Toronto Raptors,101,Sacramento Kings,109,Box Score,,
2 5 2014,7:00 pm,San Antonio Spurs,125,Washington Wizards,118,Box Score,2OT,
2 6 2014,8:00 pm,San Antonio Spurs,89,Brooklyn Nets,103,Box Score,,
2 6 2014,10:30 pm,Chicago Bulls,87,Golden State Warriors,102,Box Score,,
2 7 2014,7:30 pm,Sacramento Kings,89,Boston Celtics,99,Box Score,,
2 7 2014,8:30 pm,Utah Jazz,81,Dallas Mavericks,103,Box Score,,
2 7 2014,7:30 pm,Brooklyn Nets,95,Detroit Pistons,111,Box Score,,
2 7 2014,7:00 pm,Portland Trail Blazers,113,Indiana Pacers,118,Box Score,OT,
2 7 2014,10:30 pm,Toronto Raptors,105,Los Angeles Clippers,118,Box Score,,
2 7 2014,9:30 pm,Minnesota Timberwolves,91,New Orleans Pelicans,98,Box Score,,
2 7 2014,7:30 pm,Denver Nuggets,90,New York Knicks,117,Box Score,,
2 7 2014,7:00 pm,Oklahoma City Thunder,102,Orlando Magic,103,Box Score,,
2 7 2014,7:00 pm,Los Angeles Lakers,112,Philadelphia 76ers,98,Box Score,,
2 7 2014,7:00 pm,Cleveland Cavaliers,115,Washington Wizards,113,Box Score,,
2 8 2014,7:30 pm,Memphis Grizzlies,79,Atlanta Hawks,76,Box Score,,
2 8 2014,7:00 pm,San Antonio Spurs,104,Charlotte Bobcats,100,Box Score,,
2 8 2014,7:30 pm,Denver Nuggets,109,Detroit Pistons,126,Box Score,,
2 8 2014,8:30 pm,Houston Rockets,101,Milwaukee Bucks,95,Box Score,,
2 8 2014,8:00 pm,Portland Trail Blazers,117,Minnesota Timberwolves,110,Box Score,,
2 8 2014,9:00 pm,Golden State Warriors,109,Phoenix Suns,122,Box Score,,
2 8 2014,9:00 pm,Miami Heat,89,Utah Jazz,94,Box Score,,
2 9 2014,6:00 pm,Dallas Mavericks,102,Boston Celtics,91,Box Score,,
2 9 2014,6:00 pm,New Orleans Pelicans,81,Brooklyn Nets,93,Box Score,,
2 9 2014,6:00 pm,Memphis Grizzlies,83,Cleveland Cavaliers,91,Box Score,OT,
2 9 2014,9:30 pm,Philadelphia 76ers,78,Los Angeles Clippers,123,Box Score,,
2 9 2014,3:30 pm,Chicago Bulls,92,Los Angeles Lakers,86,Box Score,,
2 9 2014,1:00 pm,New York Knicks,100,Oklahoma City Thunder,112,Box Score,,
2 9 2014,6:00 pm,Indiana Pacers,92,Orlando Magic,93,Box Score,,
2 9 2014,6:00 pm,Sacramento Kings,84,Washington Wizards,93,Box Score,,
2 10 2014,7:30 pm,San Antonio Spurs,100,Detroit Pistons,109,Box Score,,
2 10 2014,10:30 pm,Philadelphia 76ers,80,Golden State Warriors,123,Box Score,,
2 10 2014,7:00 pm,Denver Nuggets,80,Indiana Pacers,119,Box Score,,
2 10 2014,8:00 pm,Boston Celtics,102,Milwaukee Bucks,86,Box Score,,
2 10 2014,8:00 pm,Houston Rockets,107,Minnesota Timberwolves,89,Box Score,,
2 10 2014,7:00 pm,New Orleans Pelicans,101,Toronto Raptors,108,Box Score,,
2 11 2014,7:00 pm,Dallas Mavericks,89,Charlotte Bobcats,114,Box Score,,
2 11 2014,8:00 pm,Atlanta Hawks,85,Chicago Bulls,100,Box Score,,
2 11 2014,7:00 pm,Sacramento Kings,99,Cleveland Cavaliers,109,Box Score,,
2 11 2014,10:30 pm,Utah Jazz,96,Los Angeles Lakers,79,Box Score,,
2 11 2014,8:00 pm,Washington Wizards,89,Memphis Grizzlies,92,Box Score,,
2 11 2014,9:00 pm,Miami Heat,103,Phoenix Suns,97,Box Score,,
2 11 2014,10:00 pm,Oklahoma City Thunder,98,Portland Trail Blazers,95,Box Score,,
2 12 2014,7:30 pm,San Antonio Spurs,104,Boston Celtics,92,Box Score,,
2 12 2014,7:30 pm,Charlotte Bobcats,89,Brooklyn Nets,105,Box Score,,
2 12 2014,7:30 pm,Cleveland Cavaliers,93,Detroit Pistons,89,Box Score,,
2 12 2014,10:30 pm,Miami Heat,111,Golden State Warriors,110,Box Score,,
2 12 2014,8:00 pm,Washington Wizards,112,Houston Rockets,113,Box Score,,
2 12 2014,7:00 pm,Dallas Mavericks,81,Indiana Pacers,73,Box Score,,
2 12 2014,10:30 pm,Portland Trail Blazers,117,Los Angeles Clippers,122,Box Score,,
2 12 2014,8:00 pm,New Orleans Pelicans,102,Milwaukee Bucks,98,Box Score,,
2 12 2014,8:00 pm,Denver Nuggets,90,Minnesota Timberwolves,117,Box Score,,
2 12 2014,7:30 pm,Sacramento Kings,106,New York Knicks,101,Box Score,OT,
2 12 2014,7:00 pm,Memphis Grizzlies,86,Orlando Magic,81,Box Score,,
2 12 2014,7:00 pm,Atlanta Hawks,83,Toronto Raptors,104,Box Score,,
2 12 2014,9:00 pm,Philadelphia 76ers,100,Utah Jazz,105,Box Score,,
2 13 2014,8:00 pm,Brooklyn Nets,76,Chicago Bulls,92,Box Score,,
2 13 2014,10:30 pm,Oklahoma City Thunder,107,Los Angeles Lakers,103,Box Score,,
2 18 2014,8:30 pm,Miami Heat,117,Dallas Mavericks,106,Box Score,,
2 18 2014,9:00 pm,Phoenix Suns,112,Denver Nuggets,107,Box Score,OT,
2 18 2014,7:30 pm,Charlotte Bobcats,108,Detroit Pistons,96,Box Score,,
2 18 2014,7:00 pm,Atlanta Hawks,98,Indiana Pacers,108,Box Score,,
2 18 2014,10:30 pm,San Antonio Spurs,113,Los Angeles Clippers,103,Box Score,,
2 18 2014,8:00 pm,New York Knicks,93,Memphis Grizzlies,98,Box Score,,
2 18 2014,8:00 pm,Orlando Magic,100,Milwaukee Bucks,104,Box Score,,
2 18 2014,7:00 pm,Cleveland Cavaliers,114,Philadelphia 76ers,85,Box Score,,
2 18 2014,7:00 pm,Toronto Raptors,103,Washington Wizards,93,Box Score,,
2 19 2014,7:30 pm,Washington Wizards,114,Atlanta Hawks,97,Box Score,,
2 19 2014,7:00 pm,Detroit Pistons,98,Charlotte Bobcats,116,Box Score,,
2 19 2014,7:00 pm,Orlando Magic,93,Cleveland Cavaliers,101,Box Score,,
2 19 2014,10:30 pm,Houston Rockets,134,Los Angeles Lakers,108,Box Score,,
2 19 2014,8:00 pm,Indiana Pacers,91,Minnesota Timberwolves,104,Box Score,,
2 19 2014,8:00 pm,New York Knicks,98,New Orleans Pelicans,91,Box Score,,
2 19 2014,9:00 pm,Boston Celtics,94,Phoenix Suns,100,Box Score,,
2 19 2014,10:00 pm,San Antonio Spurs,111,Portland Trail Blazers,109,Box Score,,
2 19 2014,10:00 pm,Golden State Warriors,101,Sacramento Kings,92,Box Score,,
2 19 2014,7:00 pm,Chicago Bulls,94,Toronto Raptors,92,Box Score,,
2 19 2014,9:00 pm,Brooklyn Nets,105,Utah Jazz,99,Box Score,,
2 20 2014,10:30 pm,Houston Rockets,99,Golden State Warriors,102,Box Score,OT,
2 20 2014,8:00 pm,Denver Nuggets,101,Milwaukee Bucks,90,Box Score,,
2 20 2014,8:00 pm,Miami Heat,103,Oklahoma City Thunder,81,Box Score,,
2 21 2014,7:00 pm,New Orleans Pelicans,87,Charlotte Bobcats,90,Box Score,,
2 21 2014,8:00 pm,Denver Nuggets,89,Chicago Bulls,117,Box Score,,
2 21 2014,7:30 pm,Atlanta Hawks,107,Detroit Pistons,115,Box Score,,
2 21 2014,10:30 pm,Boston Celtics,92,Los Angeles Lakers,101,Box Score,,
2 21 2014,8:00 pm,Los Angeles Clippers,96,Memphis Grizzlies,102,Box Score,,
2 21 2014,7:00 pm,New York Knicks,121,Orlando Magic,129,Box Score,2OT,
2 21 2014,7:00 pm,Dallas Mavericks,124,Philadelphia 76ers,112,Box Score,,
2 21 2014,9:00 pm,San Antonio Spurs,85,Phoenix Suns,106,Box Score,,
2 21 2014,10:00 pm,Utah Jazz,94,Portland Trail Blazers,102,Box Score,,
2 21 2014,7:00 pm,Cleveland Cavaliers,91,Toronto Raptors,98,Box Score,,
2 22 2014,7:30 pm,New York Knicks,98,Atlanta Hawks,107,Box Score,,
2 22 2014,7:00 pm,Memphis Grizzlies,89,Charlotte Bobcats,92,Box Score,,
2 22 2014,7:30 pm,Dallas Mavericks,113,Detroit Pistons,102,Box Score,,
2 22 2014,10:30 pm,Brooklyn Nets,86,Golden State Warriors,93,Box Score,,
2 22 2014,8:30 pm,Indiana Pacers,110,Milwaukee Bucks,100,Box Score,,
2 22 2014,10:00 pm,Boston Celtics,98,Sacramento Kings,105,Box Score,,
2 22 2014,9:00 pm,Minnesota Timberwolves,121,Utah Jazz,104,Box Score,,
2 22 2014,7:00 pm,New Orleans Pelicans,93,Washington Wizards,94,Box Score,,
2 23 2014,6:00 pm,Washington Wizards,96,Cleveland Cavaliers,83,Box Score,,
2 23 2014,8:00 pm,Sacramento Kings,109,Denver Nuggets,95,Box Score,,
2 23 2014,9:00 pm,Brooklyn Nets,108,Los Angeles Lakers,102,Box Score,,
2 23 2014,3:30 pm,Chicago Bulls,79,Miami Heat,93,Box Score,,
2 23 2014,1:00 pm,Los Angeles Clippers,125,Oklahoma City Thunder,117,Box Score,,
2 23 2014,9:00 pm,Houston Rockets,115,Phoenix Suns,112,Box Score,,
2 23 2014,9:00 pm,Minnesota Timberwolves,97,Portland Trail Blazers,108,Box Score,,
2 23 2014,6:00 pm,Orlando Magic,90,Toronto Raptors,105,Box Score,,
2 24 2014,7:30 pm,Golden State Warriors,104,Detroit Pistons,96,Box Score,,
2 24 2014,8:00 pm,Los Angeles Clippers,123,New Orleans Pelicans,110,Box Score,,
2 24 2014,7:30 pm,Dallas Mavericks,110,New York Knicks,108,Box Score,,
2 24 2014,7:00 pm,Milwaukee Bucks,130,Philadelphia 76ers,110,Box Score,,
2 24 2014,9:00 pm,Boston Celtics,98,Utah Jazz,110,Box Score,,
2 25 2014,7:30 pm,Chicago Bulls,107,Atlanta Hawks,103,Box Score,,
2 25 2014,7:00 pm,Toronto Raptors,99,Cleveland Cavaliers,93,Box Score,,
2 25 2014,9:00 pm,Portland Trail Blazers,100,Denver Nuggets,95,Box Score,,
2 25 2014,7:00 pm,Los Angeles Lakers,98,Indiana Pacers,118,Box Score,,
2 25 2014,9:00 pm,Minnesota Timberwolves,110,Phoenix Suns,101,Box Score,,
2 25 2014,10:00 pm,Houston Rockets,129,Sacramento Kings,103,Box Score,,
2 25 2014,7:00 pm,Orlando Magic,106,Washington Wizards,115,Box Score,,
2 26 2014,7:30 pm,Atlanta Hawks,104,Boston Celtics,115,Box Score,,
2 26 2014,8:00 pm,Golden State Warriors,83,Chicago Bulls,103,Box Score,,
2 26 2014,8:00 pm,New Orleans Pelicans,89,Dallas Mavericks,108,Box Score,,
2 26 2014,10:30 pm,Houston Rockets,93,Los Angeles Clippers,101,Box Score,,
2 26 2014,8:00 pm,Los Angeles Lakers,103,Memphis Grizzlies,108,Box Score,,
2 26 2014,8:00 pm,Cleveland Cavaliers,114,Oklahoma City Thunder,104,Box Score,,
2 26 2014,7:00 pm,Orlando Magic,101,Philadelphia 76ers,90,Box Score,,
2 26 2014,10:00 pm,Brooklyn Nets,80,Portland Trail Blazers,124,Box Score,,
2 26 2014,8:30 pm,Detroit Pistons,110,San Antonio Spurs,120,Box Score,,
2 26 2014,9:00 pm,Phoenix Suns,86,Utah Jazz,109,Box Score,,
2 27 2014,10:30 pm,Brooklyn Nets,112,Denver Nuggets,89,Box Score,,
2 27 2014,7:00 pm,Milwaukee Bucks,96,Indiana Pacers,101,Box Score,,
2 27 2014,8:00 pm,New York Knicks,82,Miami Heat,108,Box Score,,
2 27 2014,7:00 pm,Washington Wizards,134,Toronto Raptors,129,Box Score,3OT,
2 28 2014,7:30 pm,Utah Jazz,79,Cleveland Cavaliers,99,Box Score,,
2 28 2014,8:30 pm,Chicago Bulls,100,Dallas Mavericks,91,Box Score,,
2 28 2014,10:30 pm,Sacramento Kings,122,Los Angeles Lakers,126,Box Score,,
2 28 2014,8:00 pm,Golden State Warriors,126,New York Knicks,103,Box Score,,
2 28 2014,8:00 pm,Memphis Grizzlies,107,Oklahoma City Thunder,113,Box Score,,
2 28 2014,10:30 pm,New Orleans Pelicans,104,Phoenix Suns,116,Box Score,,
2 28 2014,8:30 pm,Charlotte Bobcats,82,San Antonio Spurs,92,Box Score,,
3 1 2014,8:00 pm,Indiana Pacers,102,Boston Celtics,97,Box Score,,
3 1 2014,8:00 pm,Detroit Pistons,110,Houston Rockets,118,Box Score,,
3 1 2014,10:30 pm,New Orleans Pelicans,76,Los Angeles Clippers,108,Box Score,,
3 1 2014,9:00 pm,Cleveland Cavaliers,96,Memphis Grizzlies,110,Box Score,,
3 1 2014,7:30 pm,Orlando Magic,98,Miami Heat,112,Box Score,,
3 1 2014,8:30 pm,Brooklyn Nets,107,Milwaukee Bucks,98,Box Score,,
3 1 2014,7:30 pm,Washington Wizards,122,Philadelphia 76ers,103,Box Score,,
3 1 2014,10:00 pm,Denver Nuggets,96,Portland Trail Blazers,102,Box Score,,
3 1 2014,10:00 pm,Minnesota Timberwolves,108,Sacramento Kings,97,Box Score,,
3 2 2014,1:00 pm,New York Knicks,90,Chicago Bulls,109,Box Score,,
3 2 2014,6:00 pm,Utah Jazz,91,Indiana Pacers,94,Box Score,,
3 2 2014,7:00 pm,Charlotte Bobcats,99,Oklahoma City Thunder,116,Box Score,,
3 2 2014,6:00 pm,Philadelphia 76ers,81,Orlando Magic,92,Box Score,,
3 2 2014,8:00 pm,Atlanta Hawks,120,Phoenix Suns,129,Box Score,,
3 2 2014,7:00 pm,Dallas Mavericks,106,San Antonio Spurs,112,Box Score,,
3 2 2014,4:00 pm,Golden State Warriors,98,Toronto Raptors,104,Box Score,,
3 3 2014,7:30 pm,Chicago Bulls,80,Brooklyn Nets,96,Box Score,,
3 3 2014,9:00 pm,Minnesota Timberwolves,132,Denver Nuggets,128,Box Score,,
3 3 2014,7:30 pm,New York Knicks,85,Detroit Pistons,96,Box Score,,
3 3 2014,7:30 pm,Charlotte Bobcats,107,Miami Heat,124,Box Score,,
3 3 2014,8:00 pm,Utah Jazz,88,Milwaukee Bucks,114,Box Score,,
3 3 2014,10:00 pm,Los Angeles Lakers,107,Portland Trail Blazers,106,Box Score,,
3 3 2014,10:00 pm,New Orleans Pelicans,89,Sacramento Kings,96,Box Score,,
3 3 2014,7:00 pm,Memphis Grizzlies,110,Washington Wizards,104,Box Score,,
3 4 2014,7:00 pm,San Antonio Spurs,122,Cleveland Cavaliers,101,Box Score,,
3 4 2014,8:00 pm,Miami Heat,103,Houston Rockets,106,Box Score,,
3 4 2014,7:00 pm,Golden State Warriors,98,Indiana Pacers,96,Box Score,,
3 4 2014,10:30 pm,New Orleans Pelicans,132,Los Angeles Lakers,125,Box Score,,
3 4 2014,8:00 pm,Philadelphia 76ers,92,Oklahoma City Thunder,125,Box Score,,
3 4 2014,9:00 pm,Los Angeles Clippers,104,Phoenix Suns,96,Box Score,,
3 5 2014,7:30 pm,Golden State Warriors,108,Boston Celtics,88,Box Score,,
3 5 2014,7:30 pm,Memphis Grizzlies,94,Brooklyn Nets,103,Box Score,,
3 5 2014,7:00 pm,Indiana Pacers,87,Charlotte Bobcats,109,Box Score,,
3 5 2014,8:00 pm,Dallas Mavericks,110,Denver Nuggets,115,Box Score,,
3 5 2014,7:30 pm,Chicago Bulls,105,Detroit Pistons,94,Box Score,,
3 5 2014,8:00 pm,Sacramento Kings,116,Milwaukee Bucks,102,Box Score,,
3 5 2014,8:00 pm,New York Knicks,118,Minnesota Timberwolves,106,Box Score,,
3 5 2014,7:00 pm,Houston Rockets,101,Orlando Magic,89,Box Score,,
3 5 2014,10:30 pm,Atlanta Hawks,78,Portland Trail Blazers,102,Box Score,,
3 5 2014,7:00 pm,Utah Jazz,91,Washington Wizards,104,Box Score,,
3 6 2014,10:30 pm,Los Angeles Clippers,142,Los Angeles Lakers,94,Box Score,,
3 6 2014,9:00 pm,Oklahoma City Thunder,122,Phoenix Suns,128,Box Score,,
3 6 2014,8:00 pm,Miami Heat,87,San Antonio Spurs,111,Box Score,,
3 7 2014,7:30 pm,Brooklyn Nets,84,Boston Celtics,91,Box Score,,
3 7 2014,7:00 pm,Cleveland Cavaliers,92,Charlotte Bobcats,101,Box Score,,
3 7 2014,7:00 pm,Memphis Grizzlies,85,Chicago Bulls,77,Box Score,,
3 7 2014,8:30 pm,Portland Trail Blazers,98,Dallas Mavericks,103,Box Score,,
3 7 2014,9:00 pm,Los Angeles Lakers,126,Denver Nuggets,134,Box Score,,
3 7 2014,10:30 pm,Atlanta Hawks,97,Golden State Warriors,111,Box Score,,
3 7 2014,9:30 pm,Indiana Pacers,86,Houston Rockets,112,Box Score,,
3 7 2014,8:00 pm,Detroit Pistons,101,Minnesota Timberwolves,114,Box Score,,
3 7 2014,8:00 pm,Milwaukee Bucks,104,New Orleans Pelicans,112,Box Score,,
3 7 2014,7:30 pm,Utah Jazz,81,New York Knicks,108,Box Score,,
3 7 2014,7:00 pm,Sacramento Kings,87,Toronto Raptors,99,Box Score,,
3 8 2014,7:30 pm,New York Knicks,107,Cleveland Cavaliers,97,Box Score,,
3 8 2014,10:30 pm,Atlanta Hawks,108,Los Angeles Clippers,109,Box Score,,
3 8 2014,8:00 pm,Charlotte Bobcats,89,Memphis Grizzlies,111,Box Score,,
3 8 2014,9:00 pm,Washington Wizards,114,Milwaukee Bucks,107,Box Score,,
3 8 2014,7:30 pm,Utah Jazz,104,Philadelphia 76ers,92,Box Score,,
3 8 2014,8:30 pm,Orlando Magic,112,San Antonio Spurs,121,Box Score,,
3 9 2014,6:00 pm,Detroit Pistons,111,Boston Celtics,118,Box Score,,
3 9 2014,6:00 pm,Sacramento Kings,89,Brooklyn Nets,104,Box Score,,
3 9 2014,1:00 pm,Miami Heat,88,Chicago Bulls,95,Box Score,OT,
3 9 2014,7:30 pm,Indiana Pacers,94,Dallas Mavericks,105,Box Score,,
3 9 2014,9:00 pm,Phoenix Suns,107,Golden State Warriors,113,Box Score,,
3 9 2014,7:00 pm,Portland Trail Blazers,113,Houston Rockets,118,Box Score,OT,
3 9 2014,3:30 pm,Oklahoma City Thunder,110,Los Angeles Lakers,114,Box Score,,
3 9 2014,7:00 pm,Toronto Raptors,111,Minnesota Timberwolves,104,Box Score,,
3 9 2014,6:00 pm,Denver Nuggets,107,New Orleans Pelicans,111,Box Score,OT,
